Βίβλος	[The] book
τὰ	the
ἔργα	works
πρόδηλα,	[are] evident,
καὶ	and even
τὰ	those
ἔχοντα	being,
ἄλλως	otherwise
οὐ	not
δύνανται.	able.
κρυβῆναι	to be concealed
Ὅσοι	As many as
εἰσὶν	are
ὑπὸ	under
ζυγὸν	a yoke
δοῦλοι,	[as] slaves,
ἡγείσθωσαν,	let them esteem,
τοὺς	the
ἰδίους	own
δεσπότας	masters
πάσης	of all
ἀξίους	worthy
τιμῆς	honor
ἵνα	so that
τοῦ	-
Θεοῦ	of God
τὸ	the
ὄνομα	name
καὶ	and
ἡ	the
διδασκαλία	teaching
μὴ	not
βλασφημῆται.	should be blasphemed.
δὲ	now
οἱ	Those
ἔχοντες	having
πιστοὺς	believing
δεσπότας	masters,
μὴ	not
καταφρονείτωσαν,	let them despise [them]
ὅτι	because
εἰσιν,	they are;
ἀδελφοί	brothers
ἀλλὰ	but
δουλευέτωσαν,	let them serve [them],
μᾶλλον	rather
ὅτι	because
οἱ	-
ἀντιλαμβανόμενοι.	being helped.
τῆς	by the
εὐεργεσίας	good service
εἰσιν	they are,
καὶ	and
ἀγαπητοὶ	beloved,
πιστοί	believing [ones]
δίδασκε	teach
καὶ	and
παρακάλει.	exhort.
Ταῦτα	These things
Εἴ	If
τις	anyone
ἑτεροδιδασκαλεῖ	teaches another doctrine
καὶ	and
μὴ	not
προσέρχεται	draws near
ὑγιαίνουσιν	[the] being sound
λόγοις,	words
τοῖς	-
ἡμῶν	of us
τοῦ	of the
Κυρίου	Lord
Ἰησοῦ	Jesus
Χριστοῦ,	Christ
καὶ	and
τῇ	the
κατ’	according to
εὐσέβειαν	godliness
διδασκαλίᾳ,	teaching,
τετύφωται,	he is puffed up,
ἐπιστάμενος,	knowing
μηδὲν	nothing
ἀλλὰ	but
νοσῶν	unhealthy
περὶ	about
ζητήσεις	controversies
καὶ	and
λογομαχίας,	disputes about words,
ἐξ	out of
ὧν	which
γίνεται	come
φθόνος,	envy,
ἔρις,	strife,
βλασφημίαι,	slander,
πονηραί,	evil,
ὑπόνοιαι	suspicions
διαπαρατριβαὶ	[and] constant frictions
ἀνθρώπων	among men
διεφθαρμένων	corrupted
τὸν	-
νοῦν	in mind,
καὶ	and
ἀπεστερημένων	destitute
τῆς	of the
ἀληθείας,	truth,
νομιζόντων	holding
τὴν	-
εὐσέβειαν.	godliness.
εἶναι	to be
πορισμὸν	a means of gain
⧼Ἀφίστασο	Withdraw
ἀπὸ	from
τῶν	from
τοιούτων⧽.	such.
δὲ	however
ἡ	-
εὐσέβεια	godliness
μετὰ	with
αὐταρκείας·	contentment.
Ἔστιν	Is
μέγας	great
πορισμὸς	gain
γὰρ	for
εἰσηνέγκαμεν	we brought
οὐδὲν	Nothing
εἰς	into
τὸν	the
κόσμον,	world,
ὅτι	because
οὐδὲ	neither
δυνάμεθα·	are we able.
ἐξενεγκεῖν	to carry out
τι	anything
δὲ	however
ἔχοντες	Having
διατροφὰς	sustenance
καὶ	and
σκεπάσματα,	coverings,
ἀρκεσθησόμεθα.	we will be content.
τούτοις	with these
Οἱ	Those
βουλόμενοι	desiring
πλουτεῖν	to be rich
δὲ	however
ἐμπίπτουσιν	fall
εἰς	into
πειρασμὸν	temptation
καὶ	and
παγίδα	a snare,
καὶ	and
πολλὰς	many
ἀνοήτους	foolish
καὶ	and
βλαβεράς,	harmful,
ἐπιθυμίας	desires
αἵτινες	which
βυθίζουσιν	plunge
τοὺς	-
ἀνθρώπους	men
εἰς	into
ὄλεθρον	ruin
καὶ	and
ἀπώλειαν.	destruction.
γὰρ	for
ἡ	the
φιλαργυρία,	love of money,
ἐστιν	is
ῥίζα	A root
πάντων	of all kinds
τῶν	-
κακῶν	of evils
ὀρεγόμενοι	stretching after
ἧς	which
τινες	some
ἀπεπλανήθησαν	have been seduced
ἀπὸ	away from
τῆς	the
πίστεως	faith,
καὶ	and
περιέπειραν	have pierced
ἑαυτοὺς	themselves
πολλαῖς.	many.
ὀδύναις	with sorrows
δέ,	however,
Σὺ	You
ὦ	O
ἄνθρωπε	man
Θεοῦ,	of God,
φεῦγε·	flee;
ταῦτα	these things
δὲ	now
δίωκε	pursue
δικαιοσύνην,	righteousness,
εὐσέβειαν,	godliness,
πίστιν,	faith,
ἀγάπην,	love,
ὑπομονήν,	endurance,
πραϋπαθίαν.	[and] gentleness.
ἀγωνίζου	Fight
τὸν	the
καλὸν	good
ἀγῶνα	fight
τῆς	of the
πίστεως,	faith.
ἐπιλαβοῦ	Lay hold
τῆς	of the
αἰωνίου	eternal
ζωῆς,	life,
εἰς	to
ἣν	which
ἐκλήθης	you were called,
καὶ	and also
ὡμολόγησας	did confess
τὴν	the
καλὴν	good
ὁμολογίαν	confession
ἐνώπιον	before
πολλῶν	many
μαρτύρων.	witnesses.
Παραγγέλλω	I charge
‹σοι›	you
ἐνώπιον	before
τοῦ	-
Θεοῦ	God,
τοῦ	the [One]
ζωογονοῦντος	giving life
τὰ	to
πάντα	all things,
καὶ	and
Χριστοῦ	Christ
Ἰησοῦ	Jesus,
τοῦ	the [One]
τὴν	the
καλὴν	good
ὁμολογίαν,	confession,
μαρτυρήσαντος	having testified
ἐπὶ	before
Ποντίου	Pontius
Πιλάτου	Pilate
τηρῆσαί	to keep
σε	you
τὴν	the
ἐντολὴν	commandment
ἄσπιλον	without stain,
ἀνεπίλημπτον	above reproach,
μέχρι	until
τῆς	the
ἐπιφανείας	appearing
ἡμῶν	of us
τοῦ	of the
Κυρίου	Lord
Ἰησοῦ	Jesus
Χριστοῦ,	Christ,
ἣν	which
δείξει	He will display,
ὁ	the
ἰδίοις	in the own
καιροῖς	seasons
μακάριος	blessed
καὶ	and
μόνος	alone
Δυνάστης,	Sovereign,
ὁ	the
Βασιλεὺς	King
τῶν	of those
βασιλευόντων	being kings,
καὶ	and
Κύριος	[the] Lord
τῶν	of those
κυριευόντων,	being lords,
ὁ	-
μόνος	alone
ἔχων	having
ἀθανασίαν,	immortality,
οἰκῶν	dwelling
ἀπρόσιτον,	unapproachable,
φῶς	in light
οὐδεὶς	no one
ἀνθρώπων	of men
εἶδεν	has seen
ὃν	whom
οὐδὲ	nor
δύναται·	is able,
ἰδεῖν	to see
ᾧ	to whom [be]
τιμὴ	honor
καὶ	and
αἰώνιον·	eternal.
κράτος	dominion
ἀμήν.	Amen.
παράγγελλε	instruct [them]
Τοῖς	To the
πλουσίοις	rich
ἐν	in
τῷ	the
νῦν	present
αἰῶνι	age,
μὴ	not
ὑψηλοφρονεῖν,	to be high-minded,
μηδὲ	nor
ἠλπικέναι	to have hope
ἐπὶ	in
ἀδηλότητι,	[the] uncertainty,
πλούτου	of riches
ἀλλ’	but
ἐπὶ	on
Θεῷ	God
τῷ	the [One]
πλουσίως	richly
παρέχοντι	providing
πάντα	all things
ἡμῖν	us
εἰς	for
ἀπόλαυσιν,	enjoyment,
ἀγαθοεργεῖν,	to do good,
πλουτεῖν	to be rich
ἐν	in
καλοῖς,	good,
ἔργοις	works
εἶναι,	to be,
εὐμεταδότους	generous in distributing
κοινωνικούς,	ready to share,
ἀποθησαυρίζοντας	treasuring up
ἑαυτοῖς	for themselves
καλὸν	good
θεμέλιον	a foundation
εἰς	for
τὸ	the
μέλλον,	future,
ἵνα	so that
ἐπιλάβωνται	they may take hold
τῆς	of
ὄντως	that which is indeed
ζωῆς.	life.
Ὦ	O
Τιμόθεε,	Timothy,
φύλαξον,	guard,
τὴν	the
παραθήκην	deposit committed [to you]
ἐκτρεπόμενος	avoiding
τὰς	-
βεβήλους	profane,
κενοφωνίας	empty babblings
καὶ	and
ἀντιθέσεις	opposing arguments
τῆς	-
ψευδωνύμου	falsely called
γνώσεως,	knowledge,
ἥν	which
τινες	some
ἐπαγγελλόμενοι	professing,
ἠστόχησαν.	have gone astray.
περὶ	from
τὴν	the
πίστιν	faith
Ἡ	-
χάρις	Grace [be]
μεθ’	with
ὑμῶν.	you all.
⧼Ἀμήν⧽.	Amen.
Παῦλος	Paul,
ἀπόστολος	an apostle
Χριστοῦ	of Christ
Ἰησοῦ	Jesus
διὰ	by
θελήματος	[the] will
Θεοῦ	of God,
κατ’	according to
ἐπαγγελίαν	[the] promise
ζωῆς	of life
τῆς	-
ἐν	in
Χριστῷ	Christ
Ἰησοῦ	Jesus,
Τιμοθέῳ	To Timothy
ἀγαπητῷ	[my] beloved
τέκνῳ·	child:
Χάρις,	Grace,
ἔλεος,	mercy,
εἰρήνη	[and] peace
ἀπὸ	from
Θεοῦ	God
Πατρὸς	[the] Father
καὶ	and
Χριστοῦ	Christ
Ἰησοῦ	Jesus
ἡμῶν.	of us.
τοῦ	the
Κυρίου	Lord
ἔχω	I am
Χάριν	Thankful
τῷ	-
Θεῷ,	to God,
ᾧ	whom
λατρεύω	I serve
ἐν	with
καθαρᾷ	a pure
συνειδήσει,	conscience,
ἀπὸ	from
προγόνων	[my] forefathers
ὡς	as
ἔχω	I have
ἀδιάλειπτον	unceasingly
τὴν	the
μνείαν	remembrance
περὶ	of
σοῦ	you
νυκτὸς	night
καὶ	and
ἡμέρας,	day,
ἐν	in
μου	of me
ταῖς	the
δεήσεσίν	prayers
μεμνημένος	recalling
σου	your
τῶν	-
δακρύων,	tears,
ἐπιποθῶν	longing
ἰδεῖν,	to see,
σε	you
ἵνα	so that
πληρωθῶ,	I may be filled,
χαρᾶς	with joy
λαβὼν	having taken
ὑπόμνησιν	remembrance
τῆς	of the
ἐν	within
σοὶ	you
ἀνυποκρίτου	sincere
πίστεως,	faith,
ἥτις	which
πρῶτον	first
ἐνῴκησεν	dwelt
ἐν	in
σου	of you,
τῇ	the
μάμμῃ	grandmother
Λωΐδι	Lois,
καὶ	and
σου	of you,
τῇ	in the
μητρί	mother
Εὐνίκῃ,	Eunice;
δὲ	now
πέπεισμαι	I am persuaded
ὅτι	that
ἐν	[it is] in
σοί.	you.
καὶ	also
Δι’	For
ἣν	this
αἰτίαν	reason
ἀναμιμνῄσκω	I remind
σε	you
ἀναζωπυρεῖν	to kindle anew
τὸ	the
χάρισμα	gift
τοῦ	-
Θεοῦ,	of God,
ὅ	which
ἐστιν	is
ἐν	in
σοὶ	you
διὰ	by
τῆς	the
ἐπιθέσεως	laying on
τῶν	of the
μου.	of me.
χειρῶν	hands
γὰρ	for
ὁ	-
Θεὸς	God
οὐ	Not
ἔδωκεν	has given
ἡμῖν	us
πνεῦμα	a spirit
δειλίας,	of cowardice,
ἀλλὰ	but
δυνάμεως	of power,
καὶ	and
ἀγάπης	of love,
καὶ	and
σωφρονισμοῦ.	of self-control.
οὖν	therefore
Μὴ	Not
ἐπαισχυνθῇς	you should be ashamed of
τὸ	the
μαρτύριον	testimony
τοῦ	of the
ἡμῶν	of us,
Κυρίου	Lord
μηδὲ	nor
ἐμὲ	of me
αὐτοῦ,	of Him;
τὸν	the
δέσμιον	prisoner
ἀλλὰ	but
συνκακοπάθησον	suffer together
τῷ	for the
εὐαγγελίῳ	gospel,
κατὰ	according to
δύναμιν	[the] power
Θεοῦ,	of God,
τοῦ	the [One]
σώσαντος	having saved
ἡμᾶς	us,
καὶ	and
καλέσαντος	having called [us]
ἁγίᾳ,	holy,
κλήσει	with a calling
οὐ	not
κατὰ	according to
ἡμῶν	of us,
τὰ	the
ἔργα	works
ἀλλὰ	but
κατὰ	according to
ἰδίαν	His own
πρόθεσιν	purpose
καὶ	and
χάριν,	grace,
τὴν	-
δοθεῖσαν	having been given
ἡμῖν	us
ἐν	in
Χριστῷ	Christ
Ἰησοῦ	Jesus
πρὸ	before
χρόνων	time
αἰωνίων,	eternal,
δὲ	also
νῦν	now
φανερωθεῖσαν	having been made manifest
διὰ	by
τῆς	the
ἐπιφανείας	appearing
ἡμῶν	of us,
τοῦ	of the
Σωτῆρος	Savior
Χριστοῦ	Christ
Ἰησοῦ,	Jesus,
μὲν	indeed
καταργήσαντος	having abolished
τὸν	-
θάνατον	death,
δὲ	now
φωτίσαντος	having brought to light
ζωὴν	life
καὶ	and
ἀφθαρσίαν	immortality,
διὰ	through
τοῦ	the
εὐαγγελίου,	gospel,
εἰς	to
ὃ	which
ἐγὼ	I
ἐτέθην	was appointed
κήρυξ	a herald,
καὶ	and
ἀπόστολος	an apostle,
καὶ	and
διδάσκαλος·	a teacher.
Δι’	For
ἣν	this
αἰτίαν	reason
καὶ	also
πάσχω,	I suffer.
ταῦτα	these things
ἀλλ’	But
οὐκ	not
ἐπαισχύνομαι,	I am ashamed;
γὰρ	for
οἶδα	I know
ᾧ	whom
πεπίστευκα,	I have believed,
καὶ	and
πέπεισμαι	I am persuaded
ὅτι	that
ἐστιν	He is
δυνατός	able
φυλάξαι	to guard
τὴν	the
μου	of me
παραθήκην	deposit entrusted
εἰς	for
ἐκείνην	that
τὴν	-
ἡμέραν.	day.
ἔχε	retain
Ὑποτύπωσιν	[The] pattern
ὑγιαινόντων	of sound
λόγων	words,
ὧν	which
ἤκουσας	you did hear,
παρ’	from
ἐμοῦ	me
ἐν	in
πίστει	[the] faith
καὶ	and
ἀγάπῃ	love
τῇ	that [are]
ἐν	in
Χριστῷ	Christ
Ἰησοῦ·	Jesus.
φύλαξον	keep,
τὴν	The
καλὴν	good
παραθήκην	deposit entrusted [to you]
διὰ	by
Ἁγίου	Holy,
Πνεύματος	[the] Spirit
τοῦ	the [One]
ἐνοικοῦντος	dwelling
ἐν	in
ἡμῖν.	us.
Οἶδας	You know
τοῦτο,	this,
ὅτι	that
πάντες	all
οἱ	those
ἐν	in
τῇ	-
Ἀσίᾳ,	Asia,
ἀπεστράφησάν	turned away from
με	me
ὧν	among whom
ἐστιν	are
Φύγελος	Phygelus
καὶ	and
Ἑρμογένης.	Hermogenes.
ὁ	the
Κύριος	Lord
Δῴη	May grant
ἔλεος	mercy
τῷ	to the
οἴκῳ,	household,
Ὀνησιφόρου	of Onesiphorus
ὅτι	because
ἀνέψυξεν,	he refreshed,
πολλάκις	often
με	me
καὶ	and
οὐκ	not
ἐπαισχύνθη,	he was ashamed of.
μου	of me
τὴν	the
ἅλυσίν	chain
ἀλλὰ	But
γενόμενος	having arrived
ἐν	in
Ῥώμῃ	Rome,
σπουδαίως	earnestly
ἐζήτησέν	he sought out
καὶ	and
εὗρεν·—	found [me].
με	me
ὁ	the
Κύριος	Lord
Δῴη	May grant
αὐτῷ	unto him
εὑρεῖν	to find
παρὰ	from
Κυρίου	[the] Lord
ἔλεος	mercy
ἐν	in
ἐκείνῃ	that
τῇ	-
ἡμέρᾳ·—	day!
καὶ	And
σὺ	you
γινώσκεις.	know.
βέλτιον	very well,
ὅσα	how much
διηκόνησεν,	he served
ἐν	in
Ἐφέσῳ	Ephesus
Σὺ	You
οὖν,	therefore,
μου,	of me,
τέκνον	child
ἐνδυναμοῦ	be strong
ἐν	in
τῇ	the
χάριτι	grace
τῇ	that [is]
ἐν	in
Χριστῷ	Christ
Ἰησοῦ,	Jesus.
καὶ	And
ἃ	the things which
ἤκουσας	you have heard
παρ’	from
ἐμοῦ	me
διὰ	among
πολλῶν	many
μαρτύρων,	witnesses,
παράθου	entrust
ταῦτα	these
πιστοῖς	to faithful
ἀνθρώποις,	men,
οἵτινες	such as
ἔσονται	will be
ἱκανοὶ	sufficient
διδάξαι.	to teach.
ἑτέρους	others
καὶ	also
Συνκακοπάθησον	Share in suffering
ὡς	as
καλὸς	[a] good
στρατιώτης	soldier
Χριστοῦ	of Christ
Ἰησοῦ.	Jesus.
στρατευόμενος	serving as a soldier
οὐδεὶς	No one
ἐμπλέκεται	entangles himself
ταῖς	in the
τοῦ	of this
βίου	life
πραγματείαις,	affairs,
ἵνα	that
ἀρέσῃ.	he might please.
τῷ	the [one]
στρατολογήσαντι	having enlisted him,
δὲ	now
καὶ	also
ἐὰν	If
τις,	anyone,
ἀθλῇ	competes
οὐ	not
στεφανοῦται	he is crowned,
ἐὰν	if
μὴ	not
ἀθλήσῃ.	he shall have competed.
νομίμως	lawfully
τὸν	For the
κοπιῶντα	hardworking
γεωργὸν	farmer
δεῖ	it is necessary
πρῶτον	first
μεταλαμβάνειν.	to partake.
τῶν	of the
καρπῶν	fruits
νόει	Consider
ὃ	the things
λέγω·	I am saying;
γάρ	for
ὁ	the
Κύριος	Lord
δώσει	will give
σοι	you
σύνεσιν	understanding
ἐν	in
πᾶσιν.	all things.
Μνημόνευε	Remember
Ἰησοῦν	Jesus
Χριστὸν	Christ,
ἐγηγερμένον	having been raised
ἐκ	out from
νεκρῶν,	[the] dead,
ἐκ	of [the]
σπέρματος	seed
Δαυίδ,	of David,
κατὰ	according to
μου·	my,
τὸ	-
εὐαγγέλιόν	gospel
ἐν	in
ᾧ	which
κακοπαθῶ	I suffer hardship,
μέχρι	even to
δεσμῶν	chains
ὡς	as
κακοῦργος,	an evildoer.
ἀλλὰ	But
ὁ	the
λόγος	word
τοῦ	-
Θεοῦ	of God
οὐ	not
δέδεται.	is bound!
διὰ	Because of
τοῦτο	this,
ὑπομένω	I endure
πάντα	all things
διὰ	for the sake of
τοὺς	the
ἐκλεκτούς,	elect,
ἵνα	so that
αὐτοὶ	they
καὶ	also
τύχωσιν	may obtain
σωτηρίας	[the] salvation
τῆς	that [is]
ἐν	in
Χριστῷ	Christ
Ἰησοῦ	Jesus,
μετὰ	with
αἰωνίου.	eternal.
δόξης	glory
Πιστὸς	Trustworthy [is]
ὁ	the
λόγος·	saying:
γὰρ	for
Εἰ	If
συναπεθάνομεν,	we have died together [with Him],
καὶ	also
συζήσομεν·	we will live together [with Him];
εἰ	if
ὑπομένομεν,	we endure,
καὶ	also
συμβασιλεύσομεν*·	we will reign together [with Him];
εἰ	if
ἀρνησόμεθα,	we will deny [Him],
κἀκεῖνος	He also
ἀρνήσεται	will deny
ἡμᾶς·	us;
εἰ	if
ἀπιστοῦμεν,	we are faithless,
ἐκεῖνος	He
μένει,	remains;
πιστὸς	faithful
γὰρ	for
οὐ	not
δύναται.	He is able.
ἀρνήσασθαι	to deny
ἑαυτὸν	Himself,
ὑπομίμνῃσκε,	remind [them],
Ταῦτα	These things
διαμαρτυρόμενος	solemnly charging [them]
ἐνώπιον	before
τοῦ	-
Θεοῦ	God
μὴ	not
λογομαχεῖν,	to quarrel about words,
ἐπ’	for
οὐδὲν	nothing
χρήσιμον,	profitable
ἐπὶ	[but] to
τῶν	of those
ἀκουόντων.	hearing.
καταστροφῇ	[the] subversion
Σπούδασον	Hasten
παραστῆσαι	to present
σεαυτὸν	yourself,
δόκιμον	approved
τῷ	-
Θεῷ,	to God
ἀνεπαίσχυντον,	not ashamed,
ἐργάτην	a workman
ὀρθοτομοῦντα	accurately handling
τὸν	the
λόγον	word
τῆς	-
ἀληθείας.	of truth.
δὲ	But
περιΐστασο·	avoid,
Τὰς	-
βεβήλους	worldly,
κενοφωνίας	empty babblings
γὰρ	for
προκόψουσιν	they will lead
ἐπὶ	on
πλεῖον	to more
ἀσεβείας,	ungodliness,
καὶ	and
ὁ	the
λόγος	talk
αὐτῶν	of them
ἕξει·	will have,
νομὴν	pasture to grow
ὡς	like
γάγγραινα	gangrene
ὧν	among whom
ἐστιν	are
Ὑμέναιος	Hymenaeus
καὶ	and
Φιλητός,	Philetus,
οἵτινες	who
ἠστόχησαν,	have gone astray,
περὶ	concerning
τὴν	the
ἀλήθειαν	truth
λέγοντες	asserting
[τὴν]	the
ἀνάστασιν	resurrection
ἤδη	already
γεγονέναι,	to have taken place;
καὶ	and
ἀνατρέπουσιν	they are overthrowing
τήν	the
πίστιν.	faith.
τινων	of some
μέντοι	Nevertheless,
τοῦ	of
Θεοῦ	God
Ὁ	-
στερεὸς	the firm
θεμέλιος	foundation
ἕστηκεν,	stands,
ἔχων	having
ταύτην	this:
τὴν	the
σφραγῖδα	seal
Κύριος	[the] Lord
“Ἔγνω	Knows
τοὺς	those
ὄντας	being
αὐτοῦ,	His,
καί	and,
πᾶς	everyone
ὁ	-
ὀνομάζων	naming
τὸ	the
ὄνομα	name
Κυρίου.	of the Lord.
“Ἀποστήτω	Let depart
ἀπὸ	from
ἀδικίας	iniquity
δὲ	now
Ἐν	In
μεγάλῃ	a great
οἰκίᾳ	house,
ἔστιν	there are
οὐκ	not
μόνον	only
σκεύη	vessels
χρυσᾶ	golden
καὶ	and
ἀργυρᾶ,	silver,
ἀλλὰ	but
καὶ	also
ξύλινα	wooden
καὶ	and
ὀστράκινα,	earthen;
καὶ	and
ἃ	some
μὲν	indeed
εἰς	unto
τιμὴν	honor,
δὲ	however
ἃ	some
εἰς	unto
ἀτιμίαν·	dishonor.
οὖν	therefore
ἐὰν	If
τις	anyone
ἐκκαθάρῃ	shall have cleansed
ἑαυτὸν	himself
ἀπὸ	from
τούτων,	these,
ἔσται	he will be
σκεῦος	a vessel
εἰς	for
τιμήν,	honor,
ἡγιασμένον,	having been sanctified,
εὔχρηστον	useful
τῷ	to the
δεσπότῃ,	Master,
ἡτοιμασμένον.	having been prepared.
εἰς	for
πᾶν	every
ἀγαθὸν	good
ἔργον	work
δὲ	And
φεῦγε,	flee;
νεωτερικὰς	youthful
Τὰς	-
ἐπιθυμίας	lusts
δὲ	now
δίωκε	pursue
δικαιοσύνην,	righteousness,
πίστιν,	faith,
ἀγάπην,	love,
εἰρήνην	[and] peace,
μετὰ	along with
τῶν	those
ἐπικαλουμένων	calling on
τὸν	the
Κύριον	Lord
ἐκ	out of
καθαρᾶς	pure
καρδίας.	a heart.
δὲ	And
παραιτοῦ,	refuse,
Τὰς	-
μωρὰς	foolish
καὶ	and
ἀπαιδεύτους	ignorant
ζητήσεις	speculations
εἰδὼς	knowing
ὅτι	that
γεννῶσιν	they breed
μάχας·	quarrels.
δὲ	now
δοῦλον	[The] bond-servant
Κυρίου	of [the] Lord,
δεῖ	it behooves
οὐ	not
μάχεσθαι	to quarrel,
ἀλλὰ	but
εἶναι	to be
ἤπιον	gentle
πρὸς	toward
πάντας,	all,
διδακτικόν,	able to teach,
ἀνεξίκακον,	forbearing,
ἐν	in
πραΰτητι	gentleness
παιδεύοντα	disciplining
τοὺς	those
ἀντιδιατιθεμένους,	opposing,
μή‿	lest
ποτε	ever
ὁ	-
Θεὸς	God
δώῃ	may give
αὐτοῖς	them
μετάνοιαν	repentance,
εἰς	unto
ἐπίγνωσιν	a knowledge
ἀληθείας,	of [the] truth,
καὶ	and
ἀνανήψωσιν	they might come to their senses
ἐκ	out of
τῆς	the
παγίδος,	snare,
τοῦ	of the
διαβόλου	devil
αὐτοῦ	him
ἐζωγρημένοι	having been captured
ὑπ’	by
εἰς	for
ἐκείνου	his
τὸ	-
θέλημα.	will.
δὲ	however
γίνωσκε,	realize,
Τοῦτο	This
ὅτι	that
ἐν	in
ἐσχάταις	[the] last
ἡμέραις	days
χαλεποί·	difficult.
καιροὶ	times
ἐνστήσονται	will be present
γὰρ	for
οἱ	-
ἄνθρωποι	men
ἔσονται	Will be
φίλαυτοι,	lovers of self,
φιλάργυροι,	lovers of money,
ἀλαζόνες,	boastful,
ὑπερήφανοι,	proud,
βλάσφημοι,	abusive,
ἀπειθεῖς,	disobedient,
γονεῦσιν	to parents
ἀχάριστοι,	ungrateful,
ἀνόσιοι,	unholy,
ἄστοργοι,	unloving,
ἄσπονδοι,	implacable,
διάβολοι,	slanderous,
ἀκρατεῖς,	without self-control,
ἀνήμεροι,	savage,
ἀφιλάγαθοι,	without love of good,
προδόται,	treacherous,
προπετεῖς,	reckless,
τετυφωμένοι,	puffed up,
φιλήδονοι	lovers of pleasure
μᾶλλον	rather
ἢ	than
φιλόθεοι,	lovers of God,
ἔχοντες	having
μόρφωσιν	a form
εὐσεβείας	of godliness
δὲ	but
ἠρνημένοι·	denying.
αὐτῆς	of it
τὴν	-
δύναμιν	the power
καὶ	And
ἀποτρέπου.	turn away from.
τούτους	these
γάρ	for
εἰσιν	are
οἱ	those
Ἐκ	Out of
τούτων	this sort
ἐνδύνοντες	entering
εἰς	into
τὰς	-
οἰκίας	households
καὶ	and
αἰχμαλωτίζοντες	taking captive
γυναικάρια	weak women,
σεσωρευμένα	burdened
ἁμαρτίαις,	with sins,
ἀγόμενα	being led away
ποικίλαις,	various,
ἐπιθυμίαις	by passions
πάντοτε	always
μανθάνοντα	learning
καὶ	and
μηδέποτε	never
δυνάμενα.	being able.
ἐλθεῖν	to come
εἰς	to
ἐπίγνωσιν	a knowledge
ἀληθείας	of [the] truth
ὃν	By which
τρόπον	way
δὲ	now
Ἰάννης	Jannes
καὶ	and
Ἰαμβρῆς	Jambres
ἀντέστησαν	opposed
Μωϋσεῖ,	Moses,
οὕτως	so
καὶ	also
οὗτοι	these
ἄνθρωποι	men
ἀνθίστανται	oppose
τῇ	the
ἀληθείᾳ,	truth,
κατεφθαρμένοι	being depraved
τὸν	-
νοῦν,	in mind,
ἀδόκιμοι	disqualified
περὶ	regarding
τὴν	the
πίστιν.	faith.
ἀλλ’	But
οὐ	not
προκόψουσιν	they will advance
πλεῖον·	much,
ἐπὶ	further
γὰρ	for
καὶ	also
ὡς	as
ἡ	that
ἐκείνων	of those [two]
ἐγένετο.	became.
αὐτῶν	of them
ἡ	-
ἄνοια	the folly
ἔσται	will be
ἔκδηλος	plain
πᾶσιν,	to all,
Σὺ	You
δὲ	however
παρηκολούθησάς	have closely followed
μου	my
τῇ	-
διδασκαλίᾳ,	teaching,
τῇ	-
ἀγωγῇ,	conduct,
τῇ	-
προθέσει,	purpose,
τῇ	-
πίστει,	faith,
τῇ	-
μακροθυμίᾳ,	patience,
τῇ	-
ἀγάπῃ,	love,
τῇ	-
ὑπομονῇ,	endurance,
τοῖς	-
διωγμοῖς,	persecutions,
τοῖς	-
παθήμασιν,	sufferings
οἷά	such as
ἐγένετο	happened
μοι	to me
ἐν	in
Ἀντιοχείᾳ,	Antioch,
ἐν	in
Ἰκονίῳ,	Iconium,
ἐν	in
Λύστροις·	Lystra;
οἵους	what manner of
διωγμοὺς	persecutions
ὑπήνεγκα,	I endured!
καὶ	And yet
ὁ	the
Κύριος.	Lord.
ἐρρύσατο	delivered
με	me
ἐκ	out of
πάντων	all,
καὶ	Also
δὲ	now
πάντες	all
οἱ	-
θέλοντες	desiring
ζῆν ⇔	to live
εὐσεβῶς	piously
ἐν	in
Χριστῷ	Christ
Ἰησοῦ	Jesus
διωχθήσονται.	will be persecuted.
δὲ	however
πονηροὶ	Evil
ἄνθρωποι	men
καὶ	and
γόητες	imposters
προκόψουσιν	will advance
ἐπὶ	to
τὸ	-
χεῖρον,	worse,
πλανῶντες	deceiving
καὶ	and
πλανώμενοι.	being deceived.
δὲ	however,
Σὺ	You
μένε	abide
ἐν	in
οἷς	the things
ἔμαθες	you have learned
καὶ	and
ἐπιστώθης,	have been assured of,
εἰδὼς	having known
παρὰ	from
τίνων	whom
ἔμαθες,	you learned [them],
καὶ	and
ὅτι	that
ἀπὸ	from
βρέφους	childhood
οἶδας,	you have known,
[τὰ]	the
ἱερὰ	sacred
γράμματα	writings
τὰ	-
δυνάμενά	being able
σε	you
σοφίσαι	to make wise
εἰς	unto
σωτηρίαν	salvation,
διὰ	through
πίστεως	faith,
τῆς	-
ἐν	in
Χριστῷ	Christ
Ἰησοῦ.	Jesus.
πᾶσα	Every
γραφὴ	Scripture [is]
θεόπνευστος	God-breathed
καὶ	and
ὠφέλιμος	profitable
πρὸς	for
διδασκαλίαν,	instruction,
πρὸς	for
ἐλεγμόν,	conviction,
πρὸς	for
ἐπανόρθωσιν,	correction,
πρὸς	[and] for
παιδείαν	training
ἐν	in
τὴν	-
δικαιοσύνῃ,	righteousness,
ἵνα	so that
ὁ	the
ἄνθρωπος,	man,
τοῦ	-
Θεοῦ	of God
ᾖ	may be
ἄρτιος	complete
ἐξηρτισμένος.	having been fully equipped.
πρὸς	toward
πᾶν	every
ἀγαθὸν	good
ἔργον	work
